"Medicijn","Dosisaanpassing","Type","Antwoord"
"Silodosin Recordati 4 mg harde capsules","Voor oudere patiënten is geen aanpassing van de dosering noodzakelijk (zie rubriek 5.2).","Ouderen","Geen dosisaanpassing"
"Silodosin Recordati 4 mg harde capsules","Bij patiënten met een lichte nierfunctiestoornis (CLCR ≥ 50 tot ≤ 80 ml/min) is geen aanpassing van de dosering noodzakelijk.","Nierinsufficiëntie","Geen dosisaanpassing"
"Silodosin Recordati 4 mg harde capsules","Het gebruik bij patiënten met een ernstige nierfunctiestoornis (CLCR < 30 ml/min) wordt niet aanbevolen (zie rubrieken 4.4 en 5.2).","Nierinsufficiëntie","Gecontra-indiceerd"
"Silodosin Recordati 4 mg harde capsules","Voor patiënten met een lichte tot matig-ernstige leverfunctiestoornis is geen aanpassing van de dosering noodzakelijk","Leverinsufficiëntie","Geen dosisaanpassing"
"Silodosin Recordati 4 mg harde capsules","Omdat hierover geen gegevens beschikbaar zijn, wordt het gebruik bij patiënten met een ernstige leverfunctiestoornis niet aanbevolen (zie rubrieken 4.4 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Urapidil Kalceks 25 mg oplossing voor injectie/infusie","Bij patiënten met leverinsufficiëntie kan verlaging van de dosis urapidil nodig zijn.","Leverinsufficiëntie","Wel dosisaanpassing"
"Urapidil Kalceks 25 mg oplossing voor injectie/infusie","Bij patiënten met nierinsufficiëntie kan verlaging van de dosis urapidil nodig zijn.","Nierinsufficiëntie","Wel dosisaanpassing"
"Urapidil Kalceks 25 mg oplossing voor injectie/infusie","Bij ouderen moeten antihypertensiva met de nodige voorzichtigheid worden toegediend en in kleinere doses aan het begin van de behandeling, aangezien de gevoeligheid voor zulke medicatie bij deze patiënten vaak anders is.","Ouderen","Wel dosisaanpassing"
"Trecondi 1 g poeder voor oplossing voor infusie","Er is geen dosisaanpassing nodig voor subgroepen van oudere patiënten.","Ouderen","Geen dosisaanpassing"
"Trecondi 1 g poeder voor oplossing voor infusie","Er is geen dosisaanpassing nodig voor een lichte tot matige functiestoornis","Leverinsufficiëntie","Geen dosisaanpassing"
"Trecondi 1 g poeder voor oplossing voor infusie","Treosulfan is gecontra-indiceerd bij patiënten met een ernstige functiestoornis (zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Treosulfan Tillomed 5g, poeder voor oplossing voor infusie","Treosulfan wordt via de nieren uitgescheiden. Bij oudere patiënten en patiënten met nierinsufficiëntie moet de bloedtelling zorgvuldig worden gemonitord en de dosering dienovereenkomstig worden aangepast.","Ouderen","Wel dosisaanpassing"
"Holoxan, poeder voor oplossing voor infusie","Het kan nodig zijn de dosering bij patiënten met verminderde nierfunctie aan te passen (zie rubriek 4.4).","Nierinsufficiëntie","Wel dosisaanpassing"
"Holoxan, poeder voor oplossing voor infusie","Het kan nodig zijn de dosering bij patiënten met verminderde leverfunctie aan te passen (zie rubriek 4.4).","Leverinsufficiëntie","Wel dosisaanpassing"
"Holoxan, poeder voor oplossing voor infusie","Het kan nodig zijn de dosering bij oudere patiënten aan te passen (zie rubriek 4.4).","Ouderen","Wel dosisaanpassing"
"Leukeran 2 mg filmomhulde tabletten","Een dosisaanpassing wordt niet nodig geacht voor patiënten met een nierfunctiestoornis.","Nierinsufficiëntie","Geen dosisaanpassing"
"Leukeran 2 mg filmomhulde tabletten","Patiënten met een leverfunctiestoornis dienen zorgvuldig gecontroleerd te worden op tekenen en symptomen van toxiciteit. Omdat chloorambucil voornamelijk in de lever wordt gemetaboliseerd, dient een dosisverlaging te worden overwogen bij patiënten met een ernstige leverfunctiestoornis.","Leverinsufficiëntie","Wel dosisaanpassing"
"Leukeran 2 mg filmomhulde tabletten","Er zijn echter onvoldoende gegevens beschikbaar van patiënten met een leverfunctiestoornis om een specifiek doseringsadvies te geven.","Leverinsufficiëntie","Niet onderzocht"
"Leukeran 2 mg filmomhulde tabletten","Onder ouderen zijn geen specifieke onderzoeken uitgevoerd. Het controleren van de nierfunctie of
leverfunctie wordt echter wel geadviseerd.","Ouderen","Niet onderzocht"
"Leukeran 2 mg filmomhulde tabletten","Hoewel er uit klinische ervaring geen leeftijdgerelateerde verschillen in de respons blijkt, moet de dosering van het geneesmiddel bij oudere patiënten over het algemeen zorgvuldig worden getitreerd, meestal door bij de behandeling met de laagste dosering te starten.","Ouderen","Geen dosisaanpassing"
"Symmetrel 100 mg capsules","Indien de patiënt een nierfunctiestoornis heeft, dient het doseringsinterval aangepast te worden (zie hieronder ‘Patiënten met een verminderde nierfunctie’).","Nierinsufficiëntie","Wel dosisaanpassing"
"Symmetrel 100 mg capsules","Bij patiënten met een verminderde nierfunctie is de klaring aanzienlijk verminderd, met verhoogde plasmaconcentraties van amantadine tot gevolg. Bij deze patiënten dient de dosering voorzichtig ingesteld te worden, door het doseringsinterval te verlengen","Nierinsufficiëntie","Wel dosisaanpassing"
